id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
4185,LFPG,large_airport,"Charles de Gaulle International Airport",49.012798,2.55,392,EU,France,FR,Île-de-France,FR-IDF,IDF,Paris,1,LFPG,CDG,,http://www.aeroportsdeparis.fr/,https://en.wikipedia.org/wiki/Charles_de_Gaulle_Airport,"PAR, Aéroport Roissy-Charles de Gaulle, Roissy Airport",1127475,2018-09-15T03:23:45+00:00
4189,LFPO,large_airport,"Paris-Orly Airport",48.72333,2.37944,291,EU,France,FR,Île-de-France,FR-IDF,IDF,Paris,1,LFPO,ORY,,,https://en.wikipedia.org/wiki/Orly_Airport,,1032775,2022-12-10T05:05:41+00:00
4156,LFMN,large_airport,"Nice-Côte d'Azur Airport",43.658401,7.21587,12,EU,France,FR,Provence-Alpes-Côte-d'Azur,FR-PAC,PAC,Nice,1,LFMN,NCE,,https://www.nice.aeroport.fr/en,https://en.wikipedia.org/wiki/C%C3%B4te_d'Azur_International_Airport,,51475,2022-11-08T16:07:59+00:00
4155,LFML,large_airport,"Marseille Provence Airport",43.439271922,5.22142410278,74,EU,France,FR,Provence-Alpes-Côte-d'Azur,FR-PAC,PAC,Marseille,1,LFML,MRS,,,https://en.wikipedia.org/wiki/Marseille_Provence_Airport,,1375,2011-12-17T07:33:34+00:00
4226,LFSB,large_airport,"EuroAirport Basel-Mulhouse-Freiburg Airport",47.59,7.529167,885,EU,France,FR,"Grand Est",FR-GES,GES,Bâle/Mulhouse,1,LFSB,BSL,,http://www.euroairport.com/,https://en.wikipedia.org/wiki/EuroAirport_Basel-Mulhouse-Freiburg,"MLH, EAP",1050,2022-06-10T02:31:48+00:00
4070,LFBO,large_airport,"Toulouse-Blagnac Airport",43.629101,1.36382,499,EU,France,FR,Occitanie,FR-OCC,OCC,Toulouse/Blagnac,1,LFBO,TLS,,http://www.toulouse.aeroport.fr/,https://en.wikipedia.org/wiki/Toulouse_Blagnac_International_Airport,,1675,2016-07-17T15:22:33+00:00
4137,LFLL,large_airport,"Lyon Saint-Exupéry Airport",45.725556,5.081111,821,EU,France,FR,Auvergne-Rhône-Alpes,FR-ARA,ARA,Lyon,1,LFLL,LYS,,https://www.lyonaeroports.com/,https://en.wikipedia.org/wiki/Saint-Exup%C3%A9ry_International_Airport,,1000,2018-02-11T14:28:31+00:00
4060,LFBD,large_airport,"Bordeaux-Mérignac Airport",44.8283,-0.715556,162,EU,France,FR,Nouvelle-Aquitaine,FR-NAQ,NAQ,Bordeaux/Mérignac,1,LFBD,BOD,,https://www.bordeaux.aeroport.fr/,https://en.wikipedia.org/wiki/Bordeaux%E2%80%93M%C3%A9rignac_Airport,,1275,2020-11-11T08:55:06+00:00
4169,LFOB,medium_airport,"Paris Beauvais Tillé Airport",49.454399,2.11278,359,EU,France,FR,Hauts-de-France,FR-HDF,HDF,Beauvais,1,LFOB,BVA,,https://www.aeroportparisbeauvais.com/,https://en.wikipedia.org/wiki/Paris_Beauvais_Till%C3%A9_Airport,,750,2021-07-18T13:59:47+00:00
4183,LFPB,medium_airport,"Paris-Le Bourget Airport",48.969398498535156,2.441390037536621,218,EU,France,FR,Île-de-France,FR-IDF,IDF,Paris,0,LFPB,LBG,,http://www.aeroportsdeparis.fr/,https://en.wikipedia.org/wiki/Le_Bourget_Airport,PAR,275,2008-06-13T14:30:04+00:00
4161,LFMT,medium_airport,"Montpellier-Méditerranée Airport",43.57619857788086,3.96301007270813,17,EU,France,FR,Occitanie,FR-OCC,OCC,Montpellier/Méditerranée,1,LFMT,MPL,,,https://en.wikipedia.org/wiki/Montpellier_-_M%C3%A9diterran%C3%A9e_Airport,,750,2008-06-13T14:30:04+00:00
4221,LFRS,medium_airport,"Nantes Atlantique Airport",47.153198242200006,-1.61073005199,90,EU,France,FR,Pays-de-la-Loire,FR-PDL,PDL,Nantes,1,LFRS,NTE,,,https://en.wikipedia.org/wiki/Nantes_Atlantique_Airport,,750,2010-08-31T21:50:59+00:00
4238,LFST,medium_airport,"Strasbourg Airport",48.538299560546875,7.628230094909668,505,EU,France,FR,"Grand Est",FR-GES,GES,Strasbourg,1,LFST,SXB,,http://www.strasbourg.aeroport.fr/E/index.php,https://en.wikipedia.org/wiki/Strasbourg_Airport,"BA 124",750,2008-06-13T14:30:04+00:00
4202,LFQQ,medium_airport,"Lille-Lesquin Airport",50.563332,3.086886,157,EU,France,FR,Hauts-de-France,FR-HDF,HDF,Lille/Lesquin,1,LFQQ,LIL,,,https://en.wikipedia.org/wiki/Lille_Lesquin_International_Airport,,750,2016-09-25T07:55:47+00:00
4055,LFAT,medium_airport,"Le Touquet-Côte d'Opale Airport",50.517399,1.62059,36,EU,France,FR,Hauts-de-France,FR-HDF,HDF,"Le Touquet-Paris-Plage",0,LFAT,LTQ,,https://www.aeroport-letouquet.com/,,,525,2023-05-18T09:58:35+00:00
4154,LFMK,medium_airport,"Carcassonne Airport",43.215999603271484,2.3063199520111084,433,EU,France,FR,Occitanie,FR-OCC,OCC,Carcassonne/Salvaza,1,LFMK,CCF,,,https://en.wikipedia.org/wiki/Carcassonne_Salvaza_Airport,,750,2008-06-13T14:30:04+00:00
